Country,Year,BirthRate
Aruba,1960,36.4
Afghanistan,1960,52.201
Angola,1960,54.432
Albania,1960,40.886
Netherlands Antilles,1960,32.321
Arab World,1960,47.61121705
United Arab Emirates,1960,45.924
Argentina,1960,23.809
Armenia,1960,35.408
American Samoa,1960,35.408
Antigua and Barbuda,1960,31.0
Australia,1960,22.4
Austria,1960,17.9
Azerbaijan,1960,41.022
Burundi,1960,45.866
Belgium,1960,17.0
Benin,1960,43.407
Burkina Faso,1960,47.531
Bangladesh,1960,47.258
Bulgaria,1960,17.8
Bahrain,1960,46.568
"Bahamas, The",1960,37.103
Bosnia and Herzegovina,1960,33.222
Belarus,1960,24.08
Belize,1960,43.146
Bermuda,1960,28.3
Bolivia,1960,46.359
Brazil,1960,42.865
Barbados,1960,30.782
Brunei Darussalam,1960,45.555
Bhutan,1960,47.945
Botswana,1960,46.996
Central African Republic,1960,43.682
Canada,1960,26.7
Switzerland,1960,17.6
Channel Islands,1960,16.383
Chile,1960,38.955
China,1960,20.86
Cote d'Ivoire,1960,53.053
Cameroon,1960,43.366
"Congo, Rep.",1960,42.546
Colombia,1960,44.585
Comoros,1960,48.691
Cape Verde,1960,50.456
Costa Rica,1960,45.366
Cuba,1960,31.95
Cayman Islands,1960,31.95
Cyprus,1960,26.57
Czech Republic,1960,15.0
Germany,1960,17.3
Djibouti,1960,51.109
Dominica,1960,51.109
Denmark,1960,16.6
Dominican Republic,1960,51.692
Algeria,1960,50.698
East Asia & Pacific (developing only),1960,26.93801383
East Asia & Pacific (all income levels),1960,26.5643854
Europe & Central Asia (developing only),1960,26.5643854
Europe & Central Asia (all income levels),1960,21.24079014
Ecuador,1960,44.429
"Egypt, Arab Rep.",1960,45.982
Euro area,1960,18.70187364
Eritrea,1960,48.96
Spain,1960,21.7
Estonia,1960,16.16
Ethiopia,1960,47.896
European Union,1960,18.521329
Finland,1960,18.5
Fiji,1960,44.813
France,1960,17.9
Faeroe Islands,1960,17.9
"Micronesia, Fed. Sts.",1960,43.569
Gabon,1960,30.595
United Kingdom,1960,17.5
Georgia,1960,24.253
Ghana,1960,46.925
Gibraltar,1960,46.925
Guinea,1960,49.165
"Gambia, The",1960,47.326
Guinea-Bissau,1960,41.727
Equatorial Guinea,1960,40.22
Greece,1960,18.9
Grenada,1960,44.854
Greenland,1960,44.854
Guatemala,1960,46.362
Guam,1960,35.765
Guyana,1960,42.62
High income,1960,21.40386338
"Hong Kong SAR, China",1960,35.325
Honduras,1960,50.278
Heavily indebted poor countries (HIPC),1960,48.3355111
Croatia,1960,18.41
Haiti,1960,44.156
Hungary,1960,14.7
Indonesia,1960,44.862
India,1960,47.58
Ireland,1960,21.5
"Iran, Islamic Rep.",1960,45.575
Iraq,1960,41.356
Iceland,1960,28.0
Israel,1960,26.9
Italy,1960,18.1
Jamaica,1960,39.44
Jordan,1960,49.595
Japan,1960,17.3
Kazakhstan,1960,17.3
Kenya,1960,51.256
Kyrgyz Republic,1960,51.256
Cambodia,1960,45.107
Kiribati,1960,37.0
St. Kitts and Nevis,1960,37.0
"Korea, Rep.",1960,42.12
Kosovo,1960,42.12
Kuwait,1960,43.95
Latin America & Caribbean (developing only),1960,41.64652402
Lao PDR,1960,42.963
Lebanon,1960,38.98
Liberia,1960,54.796
Libya,1960,48.752
St. Lucia,1960,42.24
Latin America & Caribbean (all income levels),1960,41.51328416
Least developed countries: UN classification,1960,47.68609836
Low income,1960,47.04385068
Liechtenstein,1960,47.04385068
Sri Lanka,1960,36.046
Lower middle income,1960,34.62020588
Low & middle income,1960,36.86187371
Lesotho,1960,42.264
Lithuania,1960,20.92
Luxembourg,1960,15.9
Latvia,1960,15.8
"Macao SAR, China",1960,31.205
Morocco,1960,50.4
Monaco,1960,50.4
Moldova,1960,26.599
Madagascar,1960,48.549
Maldives,1960,41.741
Middle East & North Africa (all income levels),1960,46.72170158
Mexico,1960,45.737
Marshall Islands,1960,45.737
Middle income,1960,35.51033112
"Macedonia, FYR",1960,31.435
Mali,1960,48.262
Malta,1960,26.1
Myanmar,1960,42.843
Middle East & North Africa (developing only),1960,47.11837758
Montenegro,1960,14.168
Mongolia,1960,43.398
Northern Mariana Islands,1960,43.398
Mozambique,1960,48.878
Mauritania,1960,50.146
Mauritius,1960,50.146
Malawi,1960,53.923
Malaysia,1960,44.687
Mayotte,1960,43.105
North America,1960,23.97152386
Namibia,1960,42.444
New Caledonia,1960,34.0
Niger,1960,56.358
Nigeria,1960,47.576
Nicaragua,1960,51.47
Netherlands,1960,20.8
High income: nonOECD,1960,34.41128683
Norway,1960,17.3
Nepal,1960,44.49
New Zealand,1960,26.5
