"Table 84. Staff, enrollment, and pupil/staff ratios in public elementary and secondary school systems, by state or jurisdiction: Fall 2000 through fall 2007       ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
State or jurisdiction ,Pupil/staff ratio,,,,,,,,,,Fall 2005,,,,,,Fall 2006\1\,,,,,,Fall 2007      ,,,,
State or jurisdiction ,Fall 2000,,Fall 2001,,Fall 2002,,Fall 2003,,Fall 2004,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,Pupil/ staff ratio,
State or jurisdiction ,Fall 2000,,Fall 2001,,Fall 2002,,Fall 2003,,Fall 2004,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,Pupil/ staff ratio,
State or jurisdiction ,Fall 2000,,Fall 2001,,Fall 2002,,Fall 2003,,Fall 2004,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,Pupil/ staff ratio,
1,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,15,
   United States\2\ ...............,8.267177490892031, ,8.074238232307707, ,8.091658954220904, ,8.152994616595118, ,8.054483908847782, ,6130686, ,49113298, ,8.011060752418246, ,6153735, ,49315842, ,8.013969077316458, ,6215635, ,49292507,7.93040566249466, 
Alabama ..........................,8.238757314759559,\3\,8.3619555353902,\3\,8.31748281641974,\3\,7.269166534118021, ,7.86831187025163, ,103775, ,741761, ,7.147781257528306, ,109839, ,743632, ,6.770200020029316, ,111656,\3\,744865,6.671070072365121,\3\
Alaska .........................,8.342362405695198,\3\,8.051174496644295,\3\,7.857084381030349,\3\,8.092628398791541,\3\,7.541401996370236,\3\,17954,\3\,133288, ,7.423860978055029,\3\,16854,\3\,132608, ,7.868043194493889,\3\,16593,\3\,131029,7.896643162779485,\3\
Arizona ......................,9.739689331679157, ,9.81293096109645, ,9.703691056405798, ,10.505060150922246, ,10.651006094759731, ,100162, ,1094454, ,10.926838521595016, ,102390, ,1068249, ,10.433138001757984, ,104670, ,1087447,10.389290149995222, 
Arkansas ........................,7.125309187419041, ,6.756060560545525, ,7.067068870955104, ,7.02584514553352, ,7.003417666006321, ,70673, ,474206, ,6.7098609086921455, ,71616, ,476409, ,6.652270442359249, ,70331, ,479016,6.810879981800344, 
