"Table 106. Public high school graduates and dropouts, by race/ethnicity and state or jurisdiction: 2006-07",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"State or 
other jurisdiction","High school graduates, by race/ethnicity, 2006-07\1\",,,,,,,"Event dropout rates (percent of 9th- to 12th-graders who dropped out) during 2006-07, by race/ethnicity    ",,,,,
"State or 
other jurisdiction",Total,,White,Black,Hispanic,"Asian/
Pacific
Islander","American
Indian/
Alaska
Native",Total,White,Black,Hispanic,"Asian/
Pacific
Islander","American
Indian/
Alaska
Native"
1,2,3.0,3,4,5,6,7,8,9,10,11,12,13
   United States\2\ .............,2871129,3.0,1872632,408759,404223,153261,30656,4.4,2.985011698007789,6.840885218406367,6.537609502424169,2.642725962203045,7.5804691921284
Alabama ....................,38883,3.0,25004,12546,580,411,342,2.3,2.0999984741210938,2.799999237060547,2.5,0.6999998092651367,1
Alaska ..................,7666,3.0,4921,282,250,520,1693,7.3,5.1999969482421875,10,9,6.6999969482421875,9.5
Arizona .....................,55954,3.0,30578,2930,17593,1699,3154,7.6,6.299999237060547,7.899997711181641,8.5,4.099998474121094,13.199996948242188
Arkansas ..................,26707,3.0,19449,5534,1121,449,154,4.6,4,6.5,5.5,2.8999996185302734,4.5
California .................,347912,3.0,138595,25737,128462,52252,2866,5.5,3.5,10,6.799999237060547,2.6999988555908203,7.6999969482421875
California ................., ,3.0,138595,25737,128462,52252,2866,5.5,3.5,10,6.799999237060547,2.6999988555908203,7.6999969482421875
Colorado ....................,45628,3.0,33031,2417,8100,1635,445,6.9,4.299999237060547,10,13.799995422363281,4,12.5
Connecticut ...............,37541,3.0,27384,4689,4139,1227,102,2.12,1.2999992370605469,3.5999984741210938,4.6999969482421875,1.0999994277954102,3.3999996185302734
Delaware ..................,7205,3.0,4483,2034,424,237,27,5.5,4.399997711181641,7.099998474121094,8.599998474121094,2.299999237060547,2.299999237060547
District of Columbia ........,2944,3.0,---,---,---,---,---,7.1,1.5999994277954102,6.899997711181641,11,6.099998474121094,0
Florida ..................,140012,3.0,78413,28099,28861,4234,405,3.8,2.6999988555908203,5.799999237060547,4.5,1.7999992370605469,3.0999984741210938
Florida .................., ,3.0,78413,28099,28861,4234,405,3.8,2.6999988555908203,5.799999237060547,4.5,1.7999992370605469,3.0999984741210938
Georgia .................,76538,3.0,43936,26195,3515,2798,94,4.6,4.299999237060547,4.899997711181641,5.799999237060547,1.6999998092651367,5.1999969482421875
Hawaii .....................,11063,3.0,2071,197,450,8301,44,5.4,5.899997711181641,6.599998474121094,6.599998474121094,5.099998474121094,10.799995422363281
Idaho ........................,16242,3.0,14186,129,1446,279,202,2.6,2.299999237060547,2.6999988555908203,5.1999969482421875,2,3.6999988555908203
Illinois .................,129181,3.0,85552,21116,16128,5963,422,4,2.1999988555908203,7.6999969482421875,6.899997711181641,1.5,3.5
Indiana .....................,58962,3.0,50578,5279,2161,821,123,2.7,2.299999237060547,5.1999969482421875,4.399997711181641,1.3999996185302734,4.299999237060547
Indiana ....................., ,3.0,50578,5279,2161,821,123,2.7,2.299999237060547,5.1999969482421875,4.399997711181641,1.3999996185302734,4.299999237060547
