Date,Fertilizer_Usage (kg/ha),Livestock_Emissions (kg CH₄/animal),Tillage_Method,Energy_Usage (L/ha),GHG_Emissions (kg CO₂/ha)
1/1/2012,118.5,54.5,No-Tillage,31.1,143.3
1/2/2012,106.5,52.3,No-Tillage,28.9,143.9
1/3/2012,100.9,46.4,Low-Tillage,20.6,127.3
1/4/2012,100.1,49.2,No-Tillage,31,130.3
1/5/2012,113.8,55.5,Traditional,25.8,133.5
1/6/2012,97,51.7,Low-Tillage,26.9,145.9
1/7/2012,113.8,53.7,Low-Tillage,28.6,111.5
1/8/2012,97.5,48.6,Low-Tillage,28.3,154.6
1/9/2012,105.4,54.1,Traditional,22.7,145.2
1/10/2012,96.2,47.2,Traditional,29.3,132.8
1/11/2012,91,50.8,Low-Tillage,30.1,131.2
1/12/2012,122.7,51.5,Traditional,31.1,150.2
1/13/2012,109.6,51.2,Low-Tillage,30.6,110.6
1/14/2012,86.3,55.7,No-Tillage,25.9,144.9
1/15/2012,100.8,46.4,Traditional,19.4,127.7
1/16/2012,101.6,50.7,No-Tillage,19.9,111.9
1/17/2012,102.7,46.5,Traditional,20.8,147.5
1/18/2012,103.5,47.1,Low-Tillage,30.6,147.9
1/19/2012,112.6,49.3,No-Tillage,19.5,110
1/20/2012,102,53.3,Low-Tillage,27.5,113.7
1/21/2012,95.4,56.8,Low-Tillage,21,111.5
1/22/2012,100.2,47.7,Low-Tillage,25.8,120.9
1/23/2012,100.5,55.8,Low-Tillage,30.7,140.1
1/24/2012,100.2,51,Traditional,19.9,108.9
1/25/2012,114.5,52,Traditional,22.8,131.9
1/26/2012,109.6,49.9,No-Tillage,27.7,108.2
1/27/2012,106.9,50,Traditional,23.8,130.6
1/28/2012,107.4,55.4,Traditional,22.5,110.4
1/29/2012,98,53.8,No-Tillage,28,127.8
1/30/2012,113.1,51.6,Traditional,27.6,113.7
1/31/2012,89.3,49,No-Tillage,28.2,141.2
2/1/2012,86.3,49.6,No-Tillage,29.3,133.1
2/2/2012,92.2,47.4,Traditional,26.2,142.4
2/3/2012,90.5,52.7,No-Tillage,22.9,105.1
2/4/2012,116,48.4,No-Tillage,25.5,134.1
2/5/2012,93.7,55.2,Low-Tillage,29,143.2
2/6/2012,108.6,49.6,Traditional,27.8,147.8
2/7/2012,93.7,49.7,Low-Tillage,19.5,152.6
2/8/2012,114.3,49.6,Traditional,21.1,144.7
2/9/2012,123.7,50.4,Traditional,30,150.3
2/10/2012,93.1,48.6,No-Tillage,24.4,139.6
2/11/2012,108.9,52.3,Low-Tillage,27.1,109.6
2/12/2012,110,55.6,Low-Tillage,27,149.4
2/13/2012,116.5,47.8,No-Tillage,28.6,149.2
2/14/2012,87.9,51.1,Traditional,22.2,150
2/15/2012,105.6,47,No-Tillage,26.2,144
2/16/2012,97.9,47.6,Low-Tillage,30.2,130.9
2/17/2012,110.6,48.5,Traditional,22.5,148.9
2/18/2012,109.8,51.2,Low-Tillage,21.6,132.4
2/19/2012,109.7,51.8,Traditional,28.6,114.7
2/20/2012,93,48.3,Low-Tillage,20.8,127.3
2/21/2012,102.5,47.5,No-Tillage,30.1,132.5
2/22/2012,105,56.4,Traditional,26.7,153.8
2/23/2012,99.6,52.2,No-Tillage,22.3,151.5
2/24/2012,118.1,56.2,No-Tillage,20.9,138.1
2/25/2012,105.3,53.8,Traditional,23.1,127.8
2/26/2012,108.7,55.6,Traditional,29,133.1
2/27/2012,109.5,53.2,Traditional,20.2,130.2
2/28/2012,105.6,48,No-Tillage,21.8,151.9
2/29/2012,117.5,54.2,No-Tillage,24.1,156.7
3/1/2012,105.3,56.9,No-Tillage,27.3,124.9
3/2/2012,120.7,55.9,Traditional,27.7,133.1
3/3/2012,90.7,55.7,Low-Tillage,24.7,109
3/4/2012,87.5,50.3,Traditional,20,147.9
3/5/2012,91.3,48.4,Traditional,20.6,123.8
3/6/2012,95.1,56,Traditional,19.4,148.2
3/7/2012,115,53.4,No-Tillage,21.7,151
3/8/2012,93.9,47.7,No-Tillage,29,126.5
3/9/2012,98.5,55.5,Low-Tillage,30.9,131.2
3/10/2012,115.1,50.1,No-Tillage,30.9,126.7
3/11/2012,125.9,53.1,Low-Tillage,26,130.3
3/12/2012,119.7,54.1,No-Tillage,28.2,150.5
3/13/2012,90.7,47.1,Low-Tillage,29.8,137.8
3/14/2012,125.2,45.9,Traditional,22.2,105.5
3/15/2012,114,53.9,Low-Tillage,26.7,149.3
3/16/2012,109,48.3,Traditional,28.4,107
3/17/2012,101.7,49.7,Low-Tillage,30.1,124.9
3/18/2012,99.6,45.8,No-Tillage,25.9,105
3/19/2012,98.3,48.9,No-Tillage,20.4,126.4
3/20/2012,93.2,52,No-Tillage,22.8,127
3/21/2012,102.1,52.9,No-Tillage,26.2,118.8
3/22/2012,86.9,48,No-Tillage,23.1,146.9
3/23/2012,92.3,51.4,Low-Tillage,20.9,126
3/24/2012,105,51.7,No-Tillage,26.8,154.8
3/25/2012,101.4,51.7,Low-Tillage,22.6,134.8
3/26/2012,114.5,50.8,Low-Tillage,24.3,153.2
3/27/2012,96.6,48.3,No-Tillage,20.3,106.5
3/28/2012,86.6,48.6,Traditional,24.4,142.7
3/29/2012,104.7,56.4,No-Tillage,19.2,106.1
3/30/2012,92.5,48.2,Traditional,28.7,152.8
3/31/2012,96.7,53.1,No-Tillage,30.1,133.9
4/1/2012,124.7,51.8,Low-Tillage,29.8,140.1
4/2/2012,104.8,49.7,Low-Tillage,25.4,126.9
4/3/2012,105.3,50.2,Low-Tillage,29.4,146.3
4/4/2012,91,52.8,No-Tillage,25.3,113
4/5/2012,106.4,51.7,Traditional,19.9,120.8
4/6/2012,97.6,56.5,No-Tillage,29.2,110.2
4/7/2012,119.2,56.1,Traditional,24.6,153.1
4/8/2012,116.5,45.9,Traditional,24.1,144
4/9/2012,125.8,54,No-Tillage,30.1,144.5
4/10/2012,107.4,52.9,Low-Tillage,30.5,125
4/11/2012,107.8,56.3,Low-Tillage,27.7,111.7
4/12/2012,104.8,49.9,Low-Tillage,29.5,134.9
4/13/2012,96.2,54.3,Traditional,21.4,111
4/14/2012,118.6,50,Traditional,24.7,128.3
4/15/2012,95.2,57.2,No-Tillage,29.1,106.3
4/16/2012,122,49.1,Traditional,21,120.3
4/17/2012,87.2,50,Low-Tillage,28.1,104.5
4/18/2012,87.4,53.8,Low-Tillage,30.7,128.9
4/19/2012,99.2,57,Low-Tillage,28.6,147
4/20/2012,105.1,55.1,No-Tillage,28.6,126.3
4/21/2012,95.8,51.1,Traditional,20,146
4/22/2012,91.4,48.5,Traditional,31.5,124.7
4/23/2012,92.3,55.7,Low-Tillage,21.4,112.6
4/24/2012,120.3,46.2,Low-Tillage,19.2,124.6
4/25/2012,117.7,52.5,Low-Tillage,22.1,139.4
4/26/2012,124.5,53.7,Low-Tillage,19.4,110.8
