Date,Crop_Type,Sales (tons),Price ($/ton),Temp (°C),Rainfall (mm),Consumer_Trend_Index,Demand_Forecast (tons)
2023-10-01,Wheat,500,300,22.0,30.0,85,550
2023-10-02,Corn,450,250,25.0,28.0,80,470
2023-10-03,Soybean,600,280,20.0,35.0,90,620
2023-10-04,Wheat,520,290,23.0,25.0,88,570
2023-10-05,Corn,480,260,27.0,20.0,82,500
2023-10-02,Wheat,494,314,22.5,30.3,82,531
2023-10-04,Corn,430,259,25.3,28.6,76,492
2023-10-06,Soybean,620,272,19.4,33.9,88,622
2023-10-08,Wheat,516,284,23.3,24.1,86,562
2023-10-10,Corn,478,267,26.2,20.0,83,477
2023-10-07,Wheat,505,290,21.0,31.3,89,567
2023-10-09,Corn,441,240,25.5,27.8,77,470
2023-10-11,Soybean,572,291,19.5,35.6,88,621
2023-10-13,Wheat,522,281,24.1,25.7,92,593
2023-10-15,Corn,485,271,25.9,19.4,78,491
2023-10-12,Wheat,494,293,22.7,29.6,83,552
2023-10-14,Corn,434,258,23.9,29.4,82,456
2023-10-16,Soybean,570,289,20.4,35.8,92,594
2023-10-18,Wheat,513,279,23.8,25.3,87,545
2023-10-20,Corn,471,255,27.6,20.3,85,499
2023-10-17,Wheat,481,306,22.6,30.2,87,550
2023-10-19,Corn,451,248,23.8,26.9,76,476
2023-10-21,Soybean,589,280,20.8,34.1,89,636
2023-10-23,Wheat,506,278,22.5,24.2,92,588
2023-10-25,Corn,486,270,27.8,19.4,85,502
2023-10-22,Wheat,515,312,21.6,28.8,83,546
2023-10-24,Corn,464,259,23.8,28.0,79,457
2023-10-26,Soybean,577,275,20.9,34.4,90,633
2023-10-28,Wheat,513,304,24.1,24.4,88,559
2023-10-30,Corn,470,248,27.3,20.0,78,489
2023-10-27,Wheat,520,292,21.2,30.0,89,536
2023-10-29,Corn,458,257,24.3,28.6,79,476
2023-10-31,Soybean,608,281,19.2,36.2,88,601
2023-11-02,Wheat,496,293,23.4,23.8,88,554
2023-11-04,Corn,487,252,27.5,19.8,86,482
2023-11-01,Wheat,492,288,22.9,31.1,83,559
2023-11-03,Corn,464,251,25.1,27.3,77,489
2023-11-05,Soybean,624,284,19.7,34.5,92,645
2023-11-07,Wheat,540,298,23.3,24.0,85,593
2023-11-09,Corn,485,247,25.9,20.3,78,483
2023-11-06,Wheat,502,306,22.3,29.2,87,536
2023-11-08,Corn,442,256,25.4,29.0,81,473
2023-11-10,Soybean,576,276,19.5,34.1,94,613
2023-11-12,Wheat,540,294,23.7,25.0,89,570
2023-11-14,Corn,465,266,26.4,19.0,83,484
2023-11-11,Wheat,522,314,22.9,29.6,81,574
2023-11-13,Corn,447,262,26.2,29.0,78,465
2023-11-15,Soybean,621,275,19.3,35.2,94,632
2023-11-17,Wheat,524,278,23.3,26.2,85,571
2023-11-19,Corn,498,266,27.5,20.4,81,490
2023-11-16,Wheat,515,309,22.8,31.2,85,550
2023-11-18,Corn,463,254,25.5,28.8,83,462
2023-11-20,Soybean,593,269,20.2,33.4,90,623
2023-11-22,Wheat,509,293,21.9,23.8,91,562
2023-11-24,Corn,462,261,27.7,19.4,83,479
2023-11-21,Wheat,478,301,22.1,30.4,87,576
2023-11-23,Corn,451,246,25.7,27.4,80,450
2023-11-25,Soybean,572,293,20.7,35.7,89,600
2023-11-27,Wheat,502,283,23.1,25.5,89,557
2023-11-29,Corn,502,266,27.1,20.2,81,487
2023-11-26,Wheat,493,308,20.9,28.8,81,525
2023-11-28,Corn,466,255,24.9,26.9,80,469
2023-11-30,Soybean,580,278,19.8,35.4,91,592
2023-12-02,Wheat,513,294,23.0,25.9,89,551
2023-12-04,Corn,459,264,25.7,20.2,86,504
2023-12-01,Wheat,494,304,21.9,30.1,89,544
2023-12-03,Corn,471,260,24.2,26.8,77,447
2023-12-05,Soybean,576,285,19.1,34.4,93,590
2023-12-07,Wheat,536,284,22.1,25.5,89,592
2023-12-09,Corn,491,268,26.4,19.4,84,515
2023-12-06,Wheat,525,297,21.7,30.8,84,574
2023-12-08,Corn,466,248,25.6,28.7,77,489
2023-12-10,Soybean,600,289,19.6,36.4,89,590
2023-12-12,Wheat,541,278,22.6,26.1,92,574
2023-12-14,Corn,486,259,26.4,19.7,83,513
2023-12-11,Wheat,515,309,21.1,30.0,81,553
2023-12-13,Corn,447,260,24.6,26.9,77,482
2023-12-15,Soybean,607,269,19.2,35.7,86,640
2023-12-17,Wheat,531,278,22.0,26.2,87,563
2023-12-19,Corn,495,272,28.3,20.5,81,479
2023-12-16,Wheat,514,302,21.8,31.2,82,550
2023-12-18,Corn,428,249,23.9,26.9,77,477
2023-12-20,Soybean,615,282,20.9,34.6,88,643
2023-12-22,Wheat,506,303,21.9,26.2,84,592
2023-12-24,Corn,481,273,25.8,20.1,86,501
2023-12-21,Wheat,506,306,21.9,30.4,86,572
2023-12-23,Corn,430,245,26.1,29.1,80,476
2023-12-25,Soybean,587,271,19.9,34.5,91,594
2023-12-27,Wheat,545,304,23.5,25.1,86,588
2023-12-29,Corn,489,251,28.1,20.6,86,511
2023-12-26,Wheat,506,298,23.0,31.1,81,524
2023-12-28,Corn,444,258,26.2,27.0,81,464
2023-12-30,Soybean,628,290,20.7,34.9,89,606
2024-01-01,Wheat,497,301,23.7,26.2,92,573
2024-01-03,Corn,493,272,27.9,19.5,82,481
2023-12-31,Wheat,523,303,21.4,30.5,86,542
2024-01-02,Corn,433,254,25.1,28.8,80,487
2024-01-04,Soybean,603,282,20.8,34.7,87,591
2024-01-06,Wheat,533,293,23.5,24.3,85,542
2024-01-08,Corn,473,262,26.7,19.9,85,492
2024-01-05,Wheat,501,309,21.8,30.4,88,575
2024-01-07,Corn,434,261,25.0,27.3,80,493
2024-01-09,Soybean,600,275,20.3,34.1,86,597
2024-01-11,Wheat,501,280,22.2,25.4,85,561
2024-01-13,Corn,499,259,27.5,19.3,79,477
2024-01-10,Wheat,483,293,21.3,28.8,82,548
2024-01-12,Corn,437,247,25.0,28.5,76,484
2024-01-14,Soybean,608,268,20.7,36.5,86,606
2024-01-16,Wheat,536,297,22.3,24.3,87,569
2024-01-18,Corn,486,257,26.9,20.5,78,488
2024-01-15,Wheat,511,312,22.0,30.1,82,547
2024-01-17,Corn,451,244,24.4,27.7,76,462
2024-01-19,Soybean,583,275,19.2,36.4,91,631
2024-01-21,Wheat,535,290,22.0,25.1,89,584
2024-01-23,Corn,477,250,26.4,19.7,83,504
2024-01-20,Wheat,493,315,22.2,29.2,82,531
2024-01-22,Corn,439,242,24.2,27.4,77,489
2024-01-24,Soybean,575,281,19.8,36.7,87,614
2024-01-26,Wheat,544,301,23.7,24.4,85,580
2024-01-28,Corn,501,261,27.2,19.6,84,484
2024-01-25,Wheat,491,298,22.0,29.2,82,556
2024-01-27,Corn,440,252,24.1,27.9,80,449
2024-01-29,Soybean,590,270,19.1,36.7,88,639
2024-01-31,Wheat,507,295,23.6,25.2,88,565
2024-02-02,Corn,473,271,27.9,20.9,79,512
2024-01-30,Wheat,522,290,21.0,30.7,86,569
2024-02-01,Corn,434,257,24.3,27.1,77,485
2024-02-03,Soybean,610,281,19.7,36.3,89,640
2024-02-05,Wheat,517,286,22.9,24.5,90,570
2024-02-07,Corn,467,270,26.7,20.1,85,506
2024-02-04,Wheat,481,313,22.3,29.5,82,566
2024-02-06,Corn,455,251,26.0,28.8,77,461
2024-02-08,Soybean,585,287,19.1,35.2,92,643
2024-02-10,Wheat,512,299,22.1,25.9,85,564
2024-02-12,Corn,494,251,26.3,20.4,84,507
2024-02-09,Wheat,510,301,21.5,29.5,82,572
2024-02-11,Corn,454,248,24.9,29.3,77,474
2024-02-13,Soybean,600,283,19.0,36.3,94,624
2024-02-15,Wheat,530,302,23.5,24.1,89,576
2024-02-17,Corn,476,266,28.2,20.9,82,481
2024-02-14,Wheat,524,310,21.2,31.3,88,551
2024-02-16,Corn,454,247,23.9,27.5,82,447
2024-02-18,Soybean,590,277,20.1,36.5,89,611
2024-02-20,Wheat,532,289,22.4,24.9,85,552
2024-02-22,Corn,480,258,28.1,19.7,83,507
2024-02-19,Wheat,476,305,21.3,31.4,82,545
2024-02-21,Corn,431,262,25.0,28.3,77,482
2024-02-23,Soybean,583,291,19.4,33.9,86,618
2024-02-25,Wheat,523,277,23.6,24.9,88,567
2024-02-27,Corn,475,262,26.1,19.4,85,522
2024-02-24,Wheat,494,293,22.3,29.7,81,531
2024-02-26,Corn,460,254,23.8,27.2,78,478
2024-02-28,Soybean,571,269,20.6,33.9,91,604
2024-03-01,Wheat,499,283,23.5,25.9,91,564
2024-03-03,Corn,488,252,26.4,20.8,78,479
2024-02-29,Wheat,485,286,21.3,30.2,84,572
2024-03-02,Corn,464,246,24.4,27.7,81,459
2024-03-04,Soybean,607,277,20.1,34.8,88,648
2024-03-06,Wheat,534,280,23.8,25.0,91,587
2024-03-08,Corn,476,248,26.4,20.1,83,488
2024-03-05,Wheat,482,310,23.1,30.1,82,537
2024-03-07,Corn,428,260,24.0,28.2,78,473
2024-03-09,Soybean,609,289,19.4,33.3,87,645
2024-03-11,Wheat,539,293,23.2,25.4,85,594
2024-03-13,Corn,476,257,27.1,19.1,79,512
2024-03-10,Wheat,479,303,21.4,29.7,83,542
2024-03-12,Corn,460,245,25.2,27.9,81,491
2024-03-14,Soybean,614,272,19.1,34.2,91,592
2024-03-16,Wheat,520,293,22.6,25.7,85,546
2024-03-18,Corn,491,260,27.5,19.9,80,516
2024-03-15,Wheat,515,306,21.5,30.3,84,528
2024-03-17,Corn,469,241,26.1,27.8,77,472
2024-03-19,Soybean,622,287,20.6,35.6,92,642
2024-03-21,Wheat,507,290,22.4,26.2,92,544
2024-03-23,Corn,490,271,26.1,20.1,85,477
2024-03-20,Wheat,510,294,22.9,31.4,89,549
2024-03-22,Corn,466,259,24.5,28.9,76,475
2024-03-24,Soybean,584,269,19.2,35.7,89,634
2024-03-26,Wheat,497,285,23.1,25.7,86,577
2024-03-28,Corn,499,263,26.3,19.0,85,476
2024-03-25,Wheat,519,301,23.0,30.9,89,542
2024-03-27,Corn,462,248,24.9,28.4,83,493
2024-03-29,Soybean,616,278,19.8,35.8,88,596
2024-03-31,Wheat,512,284,22.5,24.3,84,543
2024-04-02,Corn,503,258,26.7,20.4,80,522
2024-03-30,Wheat,514,288,21.8,31.1,89,548
2024-04-01,Corn,455,242,26.2,27.2,84,477
2024-04-03,Soybean,606,280,19.5,33.9,87,601
2024-04-05,Wheat,535,286,22.0,26.2,91,594
2024-04-07,Corn,504,252,26.7,20.5,84,483
2024-04-04,Wheat,516,292,21.4,30.1,86,554
2024-04-06,Corn,432,259,24.4,27.0,83,491
2024-04-08,Soybean,622,289,20.3,35.2,86,614
2024-04-10,Wheat,513,283,23.5,25.0,84,554
2024-04-12,Corn,489,249,27.9,20.0,82,505
2024-04-09,Wheat,516,295,22.4,30.2,83,571
2024-04-11,Corn,463,254,25.9,29.0,82,486
2024-04-13,Soybean,612,285,20.2,35.9,87,644
2024-04-15,Wheat,539,276,23.7,24.1,87,584
2024-04-17,Corn,464,268,27.9,20.0,78,489
